Time	Voltage
11.101125	0.019150072480354
11.10125	0.019150072480354
11.101375	0.0190890363927672
11.1015	0.0187228198672465
11.101625	0.0189059281300069
11.10175	0.0188448920424201
11.101875	0.0189364461738003
11.102	0.0186617837796597
11.102125	0.0187533379110399
11.10225	0.0188143739986267
11.102375	0.0187533379110399
11.1025	0.0187838559548333
11.102625	0.0186617837796597
11.10275	0.0193331807431144
11.102875	0.0193331807431144
11.103	0.0191195544365606
11.103125	0.0191805905241474
11.10325	0.0192416266117342
11.103375	0.0192111085679408
11.1035	0.0189364461738003
11.103625	0.0186007476920729
11.10375	0.0185091935606928
11.103875	0.0186923018234531
11.104	0.0184786755168994
11.104125	0.018448157473106
11.10425	0.0185397116044862
11.104375	0.0185702296482795
11.1045	0.018448157473106
11.104625	0.0191195544365606
11.10475	0.0187533379110399
11.104875	0.0183871213855192
11.105	0.0183260852979324
11.105125	0.0182040131227588
11.10525	0.018448157473106
11.105375	0.0182345311665522
11.1055	0.0182650492103456
11.105625	0.0183260852979324
11.10575	0.0179598687724117
11.105875	0.0178988326848249
11.106	0.0180514229037919
11.106125	0.0178988326848249
11.10625	0.0178988326848249
11.106375	0.0178377965972381
11.1065	0.0181124589913787
11.106625	0.0181124589913787
11.10675	0.0177462424658579
11.106875	0.0179598687724117
11.107	0.0178377965972381
11.107125	0.0179293507286183
11.10725	0.0178683146410315
11.107375	0.0178988326848249
11.1075	0.0180209048599985
11.107625	0.0179598687724117
11.10775	0.0180514229037919
11.107875	0.0178377965972381
11.108	0.0178683146410315
11.108125	0.0177462424658579
11.10825	0.0176241702906844
11.108375	0.0176546883344778
11.1085	0.0178683146410315
11.108625	0.0173495078965438
11.10875	0.0169527733272297
11.108875	0.0169527733272297
11.109	0.0167696650644694
11.109125	0.0169527733272297
11.10925	0.0170138094148165
11.109375	0.0170138094148165
11.1095	0.016739147020676
11.109625	0.0168917372396429
11.10975	0.0166170748455024
11.109875	0.016586556801709
11.11	0.0171663996337835
11.110125	0.0171969176775769
11.11025	0.0171663996337835
11.110375	0.0171663996337835
11.1105	0.0171969176775769
11.110625	0.0169527733272297
11.11075	0.0171969176775769
11.110875	0.0167086289768826
11.111	0.0162203402761883
11.111125	0.0164950026703288
11.11125	0.0163118944075685
11.111375	0.0163424124513619
11.1115	0.0162813763637751
11.111625	0.0161287861448081
11.11175	0.0162508583199817
11.111875	0.0160067139696345
11.112	0.0160067139696345
11.112125	0.0160067139696345
11.11225	0.0151522087434195
11.112375	0.0154268711375601
11.1125	0.0153963530937667
11.112625	0.0154879072251469
11.11275	0.0153658350499733
11.112875	0.0151827267872129
11.113	0.0153047989623865
11.113125	0.0152742809185931
11.11325	0.0151522087434195
11.113375	0.0150606546120394
11.1135	0.014877546349279
11.113625	0.0151522087434195
11.11375	0.0151522087434195
11.113875	0.0150606546120394
11.114	0.015030136568246
11.114125	0.0151216906996262
11.11425	0.0148165102616922
11.114375	0.0149996185244526
11.1145	0.014877546349279
11.114625	0.0141451132982376
11.11475	0.014023041123064
11.114875	0.0138399328603037
11.115	0.014023041123064
11.115125	0.0141451132982376
11.11525	0.013870450904097
11.115375	0.014023041123064
11.1155	0.0139925230792706
11.115625	0.0137483787289235
11.11575	0.0137178606851301
11.115875	0.0135347524223697
11.116	0.0135347524223697
11.116125	0.0135347524223697
11.11625	0.0136263065537499
11.116375	0.0136263065537499
11.1165	0.0137178606851301
11.116625	0.0137788967727169
11.11675	0.0136568245975433
11.116875	0.0139009689478904
11.117	0.0133516441596094
11.117125	0.0129549095902953
11.11725	0.013015945677882
11.117375	0.0130769817654688
11.1175	0.0129854276340887
11.117625	0.0128633554589151
11.11775	0.013321126115816
11.117875	0.0132906080720226
11.118	0.0125581750209812
11.118125	0.0125276569771878
11.11825	0.0122529945830472
11.118375	0.0126802471961547
11.1185	0.0128938735027085
11.118625	0.0128633554589151
11.11875	0.0128938735027085
11.118875	0.0127412832837415
11.119	0.0126497291523613
11.119125	0.0125886930647745
11.11925	0.0125581750209812
11.119375	0.012314030670634
11.1195	0.0118562600137331
11.119625	0.0118562600137331
11.11975	0.0118257419699397
11.119875	0.0119172961013199
11.12	0.0119478141451133
11.120125	0.0117647058823529
11.12025	0.0115205615320058
11.120375	0.0115205615320058
11.1205	0.0116426337071794
11.120625	0.0117341878385595
11.12075	0.0115815976195926
11.120875	0.0115815976195926
11.121	0.0115205615320058
11.121125	0.0113984893568322
11.12125	0.0116426337071794
11.121375	0.0117036697947662
11.1215	0.0115815976195926
11.121625	0.011612115663386
11.12175	0.0114290074006256
11.121875	0.0109407186999313
11.122	0.0109712367437247
11.122125	0.0109712367437247
11.12225	0.0106660563057908
11.122375	0.010605020218204
11.1225	0.0104829480430304
11.122625	0.010605020218204
11.12275	0.0103608758678569
11.122875	0.0105134660868238
11.123	0.0100251773861295
11.123125	0.00975051499198901
11.12325	0.00996414129854276
11.123375	0.00990310521095598
11.1235	0.00975051499198901
11.123625	0.00971999694819562
11.12375	0.0100251773861295
11.123875	0.00965896086060884
11.124	0.00978103303578241
11.124125	0.00971999694819562
11.12425	0.00898756389715419
11.124375	0.00901808194094758
11.1245	0.00877393759060044
11.124625	0.00883497367818723
11.12475	0.00898756389715419
11.124875	0.00892652780956741
11.125	0.00889600976577401
11.125125	0.00901808194094758
